"date","title","location","link"
2015-09-07 19:15:00,"236 - 391 - Cincinnati, OH Flat Screen Television Sale September 7th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii391/category/ALL"
2015-09-07 20:15:00,"220 - 366 - Sharonville, OH Fasttrackazon Inventory Sale September 7th, 2015 Internet Only Auction","12117 Champion Way Sharonville, OH 45241","http://skyrocket.bidfta.net/cgi-bin/mnlist.cgi?skyrocket366/category/ALL"
2015-09-07 20:30:00,"236 - 161 - West Chester, OH Staples Paper & Desk Product September 7th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office161/category/ALL"
2015-09-07 21:00:00,"236 - 408 - Cincinnati, OH Fasttrackazon Inventory Sale September 7th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii408/category/ALL"
2015-09-07 22:00:00,"220 -  371 - Sharonville, OH Fasttrackazon Inventory Sale September 7th, 2015 Internet Only Auction","12117 Champion Way Sharonville, OH 45241","http://skyrocket.bidfta.net/cgi-bin/mnlist.cgi?skyrocket371/category/ALL"
2015-09-08 08:30:00,"236 - 176 - West Chester, OH Staples Professional Office September 8th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office176/category/ALL"
2015-09-08 09:00:00,"236 - 417 - Cincinnati, OH Fasttrackazon Inventory Sale September 8th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii417/category/ALL"
2015-09-08 10:00:00,"236 - 504 - Cincinnati, OH HD.com Lighting & Electrical September 8th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii504/category/ALL"
2015-09-08 11:00:00,"236 - 411 - Cincinnati, OH Merchandise Mayhem! September 8th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii411/category/ALL"
2015-09-08 11:30:00,"236 - 162 - West Chester, OH Staples Professional Office September 8th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office162/category/ALL"
2015-09-08 12:00:00,"236 - 418 - Cincinnati, OH Fasttrackazon Inventory Sale September 8th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii418/category/ALL"
2015-09-08 13:00:00,"236 - 1401 - Cincinnati, OH HD.com Home Improvement Retailer September 8th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1401/category/ALL"
2015-09-08 14:00:00,"236 - 448 - Cincinnati, OH Merchandise Mayhem September 8th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii448/category/ALL"
2015-09-08 15:00:00,"236 - 1413 -  Cincinnati, OH Wishlist Small Appliances September 8th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1413/category/ALL"
2015-09-08 15:30:00,"236 - 169 - West Chester, OH Staples Diversey Hand Soap September 8th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office169/category/ALL"
2015-09-08 16:00:00,"236 - 419 - Cincinnati, OH Fasttrackazon Inventory Sale September 8th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii419/category/ALL"
2015-09-08 20:00:00,"220 - 372 - Sharonville, OH Fasttrackazon Inventory Sale September 8th, 2015 Internet Only Auction","12117 Champion Way Sharonville, OH 45241","http://skyrocket.bidfta.net/cgi-bin/mnlist.cgi?skyrocket372/category/ALL"
2015-09-08 20:30:00,"236 - 150 - West Chester, OH Staples Professional Office September 8th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office150/category/ALL"
2015-09-08 21:00:00,"236 - 420 - Cincinnati, OH Fasttrackazon Inventory Sale September 8th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii420/category/ALL"
2015-09-08 21:45:00,"230 - 445 - Cincinnati, OH West Clermont Schools Musical Adventure September 8th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii445/category/ALL"
2015-09-08 22:00:00,"220 - 373 - Sharonville, OH Fasttrackazon Inventory Sale September 8th, 2015 Internet Only Auction","12117 Champion Way Sharonville, OH 45241","http://skyrocket.bidfta.net/cgi-bin/mnlist.cgi?skyrocket373/category/ALL"
2015-09-09 08:30:00,"236 - 177 - West Chester, OH Staples Professional Office September 9th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office177/category/ALL"
2015-09-09 09:00:00,"236 - 428 - Cincinnati, OH Fasttrackazon Inventory Sale September 9th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii428/category/ALL"
2015-09-09 10:00:00,"236 - 434 - Cincinnati, OH HD,com Handy Man's Inventory September 9th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii434/category/ALL"
2015-09-09 11:30:00,"236 - 173 - West Chester, OH Staples Professional Office September 9th, 2015 Internet Only Auction","9911 Crescent Park Drive West Chester, OH 45069","http://bid.bidfta.com/cgi-bin/mnlist.cgi?office173/category/ALL"
2015-09-09 12:00:00,"236 - 431 - Cincinnati, OH Fasttrackazon Inventory Sale September 9th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii431/category/ALL"
2015-09-09 13:00:00,"236 - 1404 - Cincinnati, OH Merchandise Mayhem September 9th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1404/category/ALL"
2015-09-09 14:00:00,"236 - 1402 - Cincinnati, OH HD.com  Home Improvement Retailer September 9th, 2015 Internet Only Auction","4000A McMann Road Cincinnati, OH 45245","http://bid.bidfta.com/cgi-bin/mnlist.cgi?twomcii1402/category/ALL"
